,time,open,close,high,low,volume
938,10 06:08,0.74567,0.74572,0.74572,0.74567,0.02
939,10 06:09,0.74578,0.74595,0.74595,0.74578,0.04
940,10 06:10,0.74595,0.74594,0.74595,0.74594,0.03
941,10 06:11,0.74593,0.74587,0.74593,0.74587,0.04
942,10 06:12,0.74592,0.74589,0.74603,0.74586,0.11
943,10 06:14,0.74595,0.74586,0.746,0.74586,0.08
944,10 06:15,0.74582,0.7458,0.74582,0.74558,0.12
945,10 06:16,0.74576,0.74572,0.74576,0.74572,0.02
946,10 06:17,0.74569,0.74569,0.74569,0.74569,0.01
947,10 06:18,0.74565,0.74574,0.74574,0.74565,0.04
948,10 06:19,0.74568,0.7455,0.74568,0.74544,0.11
949,10 06:20,0.74556,0.74562,0.74562,0.7455,0.17
950,10 06:21,0.74567,0.74576,0.74582,0.74567,0.07
951,10 06:22,0.74569,0.74582,0.74582,0.74569,0.07
952,10 06:23,0.74584,0.7461,0.7461,0.74584,0.06
953,10 06:24,0.74608,0.74594,0.74608,0.74592,0.09
954,10 06:25,0.746,0.74584,0.746,0.74584,0.1
955,10 06:26,0.74584,0.7459,0.7459,0.74584,0.03
956,10 06:27,0.74594,0.74594,0.74603,0.74594,0.09
957,10 06:28,0.746,0.74593,0.746,0.7459,0.08
958,10 06:29,0.74599,0.74609,0.74609,0.74599,0.06
959,10 06:30,0.74614,0.74614,0.7462,0.74609,0.11
960,10 06:31,0.7462,0.74616,0.74623,0.7461,0.09
961,10 06:32,0.74612,0.74622,0.74622,0.74612,0.06
962,10 06:33,0.74616,0.74606,0.74616,0.74588,0.12
963,10 06:34,0.74602,0.746,0.74602,0.74596,0.05
964,10 06:35,0.74606,0.74598,0.74606,0.74598,0.03
965,10 06:36,0.74604,0.74599,0.74604,0.74599,0.03
966,10 06:37,0.74604,0.7462,0.74631,0.74604,0.15
967,10 06:38,0.7462,0.7462,0.7462,0.7462,0.01
968,10 06:39,0.7462,0.74612,0.74622,0.74612,0.05
969,10 06:40,0.74612,0.74614,0.7462,0.74612,0.06
970,10 06:41,0.74614,0.7463,0.74634,0.74614,0.23
971,10 06:42,0.7463,0.74638,0.74642,0.74628,0.17
972,10 06:43,0.74632,0.7462,0.7464,0.74617,0.08
973,10 06:44,0.74624,0.74629,0.74642,0.74624,0.13
974,10 06:45,0.74622,0.7462,0.74624,0.7462,0.08
975,10 06:46,0.74619,0.7463,0.7463,0.74617,0.09
976,10 06:47,0.74625,0.7462,0.74625,0.7462,0.03
977,10 06:48,0.7462,0.74632,0.74636,0.7462,0.15
978,10 06:49,0.74636,0.7463,0.7464,0.74624,0.09
979,10 06:50,0.7463,0.7463,0.74642,0.74625,0.12
980,10 06:51,0.7463,0.7462,0.7463,0.7462,0.07
981,10 06:52,0.74627,0.74642,0.74642,0.74627,0.08
982,10 06:53,0.74648,0.74639,0.74654,0.74639,0.11
